UNITID,EFALEVEL,EFTOTLT,EFTOTLM,EFTOTLW
100654,1,5020,2268,2752
100654,2,4051,1969,2082
100654,3,4051,1969,2082
100654,4,1103,541,562
100654,5,2948,1428,1520
100654,12,969,299,670
100654,19,166,77,89
100654,20,2782,1351,1431
100654,21,4439,2013,2426
100654,22,3799,1836,1963
100654,23,3799,1836,1963
100654,24,1088,532,556
100654,25,2711,1304,1407
100654,32,640,177,463
100654,39,152,72,80
100654,40,2559,1232,1327
100654,41,581,255,326
100654,42,252,133,119
100654,43,252,133,119
100654,44,15,9,6
100654,45,237,124,113
100654,52,329,122,207
100654,59,14,5,9
100654,60,223,119,104
100663,1,18568,7309,11259
100663,2,11502,4780,6722
100663,3,11200,4631,6569
100663,4,1773,717,1056
100663,5,9427,3914,5513
100663,11,302,149,153
100663,12,7066,2529,4537
100663,19,1397,550,847
100663,20,8030,3364,4666
100663,21,11961,5042,6919
100663,22,8357,3501,4856
100663,23,8312,3470,4842
100663,24,1732,697,1035
100663,25,6580,2773,3807
100663,31,45,31,14
100663,32,3604,1541,2063
100663,39,887,375,512
100663,40,5693,2398,3295
100663,41,6607,2267,4340
100663,42,3145,1279,1866
100663,43,2888,1161,1727
100663,44,41,20,21
100663,45,2847,1141,1706
100663,51,257,118,139
100663,52,3462,988,2474
100663,59,510,175,335
100663,60,2337,966,1371
100690,1,631,264,367
100690,2,322,126,196
100690,3,322,126,196
100690,4,7,2,5
100690,5,315,124,191
100690,12,309,138,171
100690,20,315,124,191
100690,21,323,133,190
100690,22,202,74,128
100690,23,202,74,128
100690,24,3,0,3
100690,25,199,74,125
100690,32,121,59,62
100690,40,199,74,125
100690,41,308,131,177
100690,42,120,52,68
100690,43,120,52,68
100690,44,4,2,2
100690,45,116,50,66
100690,52,188,79,109
100690,60,116,50,66
100706,1,7376,4136,3240
100706,2,5696,3177,2519
100706,3,5525,3083,2442
100706,4,651,396,255
100706,5,4874,2687,2187
100706,11,171,94,77
100706,12,1680,959,721
100706,19,705,380,325
100706,20,4169,2307,1862
100706,21,4802,2653,2149
100706,22,4237,2331,1906
100706,23,4202,2311,1891
100706,24,638,387,251
100706,25,3564,1924,1640
100706,31,35,20,15
100706,32,565,322,243
100706,39,546,285,261
100706,40,3018,1639,1379
100706,41,2574,1483,1091
100706,42,1459,846,613
100706,43,1323,772,551
100706,44,13,9,4
100706,45,1310,763,547
100706,51,136,74,62
100706,52,1115,637,478
100706,59,159,95,64
100706,60,1151,668,483
100724,1,6075,2399,3676
100724,2,5356,2188,3168
100724,3,5354,2187,3167
100724,4,1545,628,917
100724,5,3809,1559,2250
100724,11,2,1,1
100724,12,719,211,508
100724,19,223,95,128
100724,20,3586,1464,2122
100724,21,5182,2080,3102
100724,22,4872,1975,2897
100724,23,4871,1974,2897
100724,24,1520,621,899
100724,25,3351,1353,1998
100724,31,1,1,0
100724,32,310,105,205
100724,39,198,86,112
100724,40,3153,1267,1886
100724,41,893,319,574
100724,42,484,213,271
100724,43,483,213,270
100724,44,25,7,18
100724,45,458,206,252
100724,51,1,0,1
100724,52,409,106,303
100724,59,25,9,16
100724,60,433,197,236
100751,1,34752,15763,18989
100751,2,29440,13556,15884
100751,3,28692,13214,15478
100751,4,6454,2830,3624
100751,5,22238,10384,11854
100751,11,748,342,406
100751,12,5312,2207,3105
100751,19,1474,702,772
100751,20,20764,9682,11082
100751,21,29498,13662,15836
100751,22,26548,12353,14195
100751,23,26247,12160,14087
100751,24,6428,2820,3608
100751,25,19819,9340,10479
100751,31,301,193,108
100751,32,2950,1309,1641
100751,39,1144,586,558
100751,40,18675,8754,9921
100751,41,5254,2101,3153
100751,42,2892,1203,1689
100751,43,2445,1054,1391
100751,44,26,10,16
100751,45,2419,1044,1375
100751,51,447,149,298
100751,52,2362,898,1464
100751,59,330,116,214
100751,60,2089,928,1161
100760,1,1906,738,1168
100760,2,1906,738,1168
100760,3,1779,656,1123
100760,4,561,258,303
100760,5,1218,398,820
100760,11,127,82,45
100760,19,90,32,58
100760,20,1128,366,762
100760,21,953,421,532
100760,22,953,421,532
100760,23,950,419,531
100760,24,470,216,254
100760,25,480,203,277
100760,31,3,2,1
100760,39,45,24,21
100760,40,435,179,256
100760,41,953,317,636
100760,42,953,317,636
100760,43,829,237,592
100760,44,91,42,49
100760,45,738,195,543
100760,51,124,80,44
100760,59,45,8,37
100760,60,693,187,506
100812,1,3170,1107,2063
100812,2,3170,1107,2063
100812,3,2999,1049,1950
100812,5,2999,1049,1950
100812,11,171,58,113
100812,19,738,259,479
100812,20,2261,790,1471
100812,21,1350,419,931
100812,22,1350,419,931
100812,23,1349,419,930
100812,25,1349,419,930
100812,31,1,0,1
100812,39,421,143,278
100812,40,928,276,652
100812,41,1820,688,1132
100812,42,1820,688,1132
100812,43,1650,630,1020
100812,45,1650,630,1020
100812,51,170,58,112
100812,59,317,116,201
100812,60,1333,514,819
100830,1,5084,1884,3200
100830,2,4322,1645,2677
100830,3,4322,1645,2677
100830,4,671,264,407
100830,5,3651,1381,2270
100830,12,762,239,523
100830,19,434,156,278
100830,20,3217,1225,1992
100830,21,3223,1220,2003
100830,22,2999,1138,1861
100830,23,2999,1138,1861
100830,24,589,229,360
100830,25,2410,909,1501
100830,32,224,82,142
100830,39,315,121,194
100830,40,2095,788,1307
100830,41,1861,664,1197
100830,42,1323,507,816
100830,43,1323,507,816
100830,44,82,35,47
100830,45,1241,472,769
100830,52,538,157,381
100830,59,119,35,84
100830,60,1122,437,685
100858,1,24864,12628,12236
100858,2,19799,10108,9691
100858,3,19761,10091,9670
100858,4,3726,1791,1935
100858,5,16035,8300,7735
100858,11,38,17,21
100858,12,5065,2520,2545
100858,19,1052,610,442
100858,20,14983,7690,7293
100858,21,21093,10379,10714
100858,22,18011,8973,9038
100858,23,17978,8956,9022
100858,24,3696,1780,1916
100858,25,14282,7176,7106
100858,31,33,17,16
100858,32,3082,1406,1676
100858,39,942,549,393
100858,40,13340,6627,6713
100858,41,3771,2249,1522
100858,42,1788,1135,653
100858,43,1783,1135,648
100858,44,30,11,19
100858,45,1753,1124,629
100858,51,5,0,5
100858,52,1983,1114,869
100858,59,110,61,49
100858,60,1643,1063,580
100937,1,1188,643,545
100937,2,1188,643,545
100937,3,1181,641,540
100937,4,356,202,154
100937,5,825,439,386
100937,11,7,2,5
100937,19,27,8,19
100937,20,798,431,367
100937,21,1167,632,535
100937,22,1167,632,535
100937,23,1167,632,535
