UNITID,F1A01,F1A09,F1B01,F1H02   
100654,69984184,56634650,40999774,
100663,869577141,330127622,146814105,392284979
100706,173235505,54979041,50594944,69929806
100724,63893804,38090643,43528006,73546541
100733,3484030,2445379,0,
100751,525605272,424242388,386942854,617611309
100760,12549909,6199281,3530589,340265
100812,10818481,5739113,14115040,2365949
100830,12141164,20949041,31202849,43933312
100858,256936897,299061854,314028163,526128048
101028,8016502,2107217,2942071,51020
101143,12171373,3224340,4472918,899856
101161,26907600,8050320,8097880,
101240,39552282,8337155,7637889,3019474
101286,34846542,5475503,6959669,118895
101295,27735260,8240954,12145731,
101301,6844942,1834872,2064465,
101462,7044952,1972782,1241906,
101471,5474695,359201,17280,
101480,83197377,33395428,46847062,11256873
101499,7166927,1617523,1013845,321445
101505,43644283,13609169,16130708,1183639
101514,55719780,13435988,23611509,
101569,22832506,10036882,4246951,
101587,64994872,13221777,31092691,327572
101602,10121302,3503855,2350949,
101648,4296940,1685477,1031124,2765773
101709,39312489,19555002,20238177,16589568
101736,15857029,5367244,3614515,750749
101879,62290094,22897807,38437587,25252050
101897,16147700,3129833,4585818,79833
101949,7182252,2099808,3512610,
101994,2275603,697542,895946,
102030,21941557,4934875,4775831,149999
102067,20110520,5640775,9381195,
102076,8997778,8391489,4231476,2567759
102094,333828000,115149000,95709000,157112000
102313,15593413,2101763,3022771,
102368,138533506,56243280,131531361,528918
102429,26161101,4719595,5513934,147298
102553,48212164,26828153,71549992,50159275
102614,66504308,32584526,41641848,78974513
102632,11885618,3162781,11915120,4078273
102711,,,1622778,
103361,893387,104289,822144,57789
103529,76070290,118361329,1125629,223256322
104151,347645000,184014000,802965000,552789000
104160,41349779,6886845,4129716,1709961
104179,364778000,219350000,461580000,611746000
104346,48084136,10313712,5997913,4142419
104425,25129207,5163238,4145645,5257327
104577,45157084,3084778,3453406,
104708,,,18497272,
105136,538898031,140537771,1033734,55993276
105145,,,8890514,
105154,,,26736027,
105206,15063585,1703281,4887443,3754265
105297,39960534,14051209,465785,4613432
105330,213011967,56058191,172564634,107274943
105349,39408725,2056178,2466640,12414
105428,,,9632970,
105525,89921354,16077597,30034844,4506939
105668,,,36845716,
105747,,,13108475,
105792,,,2578637,
106148,27817333,12547031,8610225,8688053
106245,54749426,12232528,60959767,74671942
106263,320120000,117385000,29701000,29496000
106397,329212868,119403765,149979017,819813727
106412,32329069,5869033,5823980,1741022
106449,5185273,2972340,5849343,146914
106458,45190502,27037424,43927865,42838381
106467,46743045,8769423,29343396,20351024
106485,10754181,6331242,8628223,2580447
106625,6876433,897155,2430189,
106704,34928403,12897645,45275026,23705777
106795,7348076,4624411,957679,76785
106829,,,175351,
106883,4708814,341451,1337933,279027
106980,10635904,1392407,3671077,860854
106999,4674561,791924,1097423,
107071,17233275,4974849,10563071,14724336
107318,9110178,5231175,2336381,2145369
107327,6631314,1128617,1463565,3653576
107460,4567140,908914,1754880,3745770
107488,,,1122884,
107521,2745788,228896,1218696,
107549,4440480,347671,948164,1478506
107585,5469770,921649,2912237,33000
107619,9552437,1364886,420137,
107637,8042879,999768,2609239,544425
107664,29024025,6008929,10637697,1340886
107725,4232716,749673,1153516,2151740
107743,5787872,534446,752454,
107974,9069030,706459,1841118,1335233
107983,11339314,5207723,10411080,3189609
107992,15273551,796570,2796551,845433
108056,47531495,15769760,0,
108092,13589217,8398603,13451693,70115940
108667,,,3221989,
108807,75320916,19893076,4716109,16354387
109208,,,9220679,
109350,38271720,34718267,3070944,2564789
109819,44675461,66855185,4972156,
109907,19323741,7202322,690170,378867
110246,51625393,17647109,7285460,2112063
110334,60029951,27246301,7699152,16755434
110398,16764496,8085382,34697071,32806799
110422,111723182,60664046,137159041,184355094
110486,68215587,12963417,24070298,20178522
110495,64415435,16537800,33178802,10263794
110501,234467137,100289995,3668374,10802432
110510,86702269,28339406,85314116,21312719
110529,160263497,46824649,83022658,69271861
110538,113885155,30466633,75535000,35624731
110547,79397297,21481327,54866315,12165790
110556,110051574,29747625,75784446,136018304
110565,179889634,74213781,177932254,42724221
110574,95184418,31322485,88375059,10684335
110583,208781595,80011081,150547965,50573929
110592,124072523,37054919,75212937,17355399
110608,192316487,73989537,168190348,66980817
110617,163584906,57382916,117259891,28981610
110635,,,639860000,1411707000
110644,,,434317000,252719000
110653,,,400856000,261488000
110662,,,621099000,1411797000
110671,,,246454000,111234000
110680,,,414526000,471858000
110699,,,56759000,766144000
110705,,,309082000,126046000
110714,,,196440000,61658000
111188,25549766,6720268,9702557,5335426
111434,41055826,9117065,2491512,
111461,78195727,32578020,10890682,1691793
111887,145946740,33470202,6854308,
111896,,,2403142,
111920,28534912,40111273,8012057,
111939,108267721,38547903,9001747,
